condition,prediction,accuracy,numerosity,fitness,selected_feature_indices,original_feature_indices,correct_count,match_count
"[[0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735], [0.9300264477729798, 4.918055617809296], [1.1763748466968535, 6.583062237501144], [-1.6849230200052263, 3.1444805532693865]]",Anomalous,1.0,1,1.0,"[48, 15, 8, 49, 3]","[1262, 474, 239, 1263, 138]",6,6
"[[1.8506787163553136, 2.276870270371437], [-1.2518819496035576, 5.9194654151797295], [-1.8635925769805908, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.6500760436058046, 1.0857808893918992]]",Normal,1.0,1,1.0,"[11, 47, 37, 31, 16, 34, 39, 30]","[274, 1216, 963, 817, 496, 840, 1039, 766]",4,4
"[[-1.6227943122386934, 2.8923924192786217], [1.8896980887651442, 6.885842263102532], [-1.9531167209148408, 3.266707724928856], [-1.3166036960482597, 3.052837526500225], [0.42436992675065976, 3.802003745734692], [3.198691818714142, 10.718188788890838]]",Anomalous,1.0,1,1.0,"[49, 15, 12, 19, 20, 17]","[1263, 474, 345, 565, 566, 500]",2,2
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 8.503047822725428], [1.1763748466968535, 6.583062237501144], [2.202068034410477, 5.773335274457931], [0.5240503451228142, 6.331133733093738]]",Anomalous,1.0,1,1.0,"[8, 48, 49, 18, 35]","[239, 1262, 1263, 513, 847]",6,6
"[[-1.8555157244205476, 2.276870270371437], [-1.2518819496035576, 5.9194654151797295], [1.208411833624395, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.758002656698227, 3.0558807000517847], [-1.8356576323509217, 3.662991696000099]]",Normal,1.0,1,1.0,"[11, 47, 37, 31, 16, 34, 39, 19, 29]","[274, 1216, 963, 817, 496, 840, 1039, 565, 746]",9,9
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 8.503047822725428], [2.202068034410477, 5.773335274457931], [3.264838366508484, 7.891181797981262]]",Anomalous,1.0,1,1.0,"[8, 48, 18, 31]","[239, 1262, 513, 817]",5,5
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 7.9829153724181925], [1.1763748466968535, 6.583062237501144], [-1.8555157244205476, 2.8624915739893915]]",Anomalous,1.0,1,1.0,"[8, 48, 49, 11]","[239, 1262, 1263, 274]",8,8
"[[0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735], [1.7320358258485795, 5.78008632838726]]",Anomalous,1.0,1,1.0,"[48, 15, 31]","[1262, 474, 817]",19,19
"[[0.9300264477729798, 4.918055617809296], [-1.0841038933699505, 6.544960600435735], [1.408776108920574, 7.75085371285677], [-1.692567104101181, 2.891884127259255], [-0.07869527190923709, 4.678082440793514], [0.595992523431778, 4.180502933263779]]",Anomalous,1.0,1,1.0,"[8, 15, 10, 20, 40, 14]","[239, 474, 245, 566, 1049, 446]",6,6
"[[4.124330026885821, 7.75085371285677], [-1.692567104101181, 2.891884127259255], [3.1077651699358744, 4.184756052643061], [2.0910538363456723, 9.836680538654328], [-1.6931957185268403, 2.464584268331528]]",Anomalous,1.0,1,0.1,"[10, 20, 29, 38, 22]","[245, 566, 746, 980, 613]",0,0
"[[0.14765142649412155, 6.848194845020771], [-0.791398646622119, 5.78008632838726], [7.859528556466103, 9.570336308465041]]",Anomalous,1.0,1,0.1,"[48, 31, 29]","[1262, 817, 746]",0,0
"[[-1.6227943122386934, 2.8923924192786217], [0.06150343477726006, 4.25525853574276], [-1.8260549545288087, 0.910751874446869], [1.8896980887651442, 6.885842263102532], [-1.9531167209148408, 3.266707724928856], [-1.3166036960482597, 3.052837526500225], [-0.6604815155267716, 2.3830334573984144]]",Anomalous,1.0,1,1.0,"[49, 34, 33, 15, 12, 19, 26]","[1263, 840, 830, 474, 345, 565, 717]",4,4
"[[-0.07869527190923709, 4.678082440793514], [-0.7118946880102159, 5.279513058066368], [-1.7161404550075532, 1.7591201013326643], [-0.22677694678306604, 2.814354289770127], [1.1044598197937012, 5.171438636779785], [3.9236804896593096, 6.668971831202507], [0.148958386182785, 3.7070913898944857], [-0.18058345973491674, 3.7782707041502]]",Anomalous,1.0,1,0.1,"[40, 9, 13, 15, 33, 36, 43, 44]","[1049, 240, 408, 474, 830, 882, 1094, 1123]",0,0
"[[-1.692567104101181, 2.891884127259255], [3.26337050139904, 7.025436413884163], [-0.20549165248870827, 5.334780325889588], [0.14765142649412155, 6.848194845020771], [-1.5301335322856904, 3.6963441836833955]]",Anomalous,1.0,1,1.0,"[20, 36, 7, 48, 29]","[566, 882, 228, 1262, 746]",5,5
